move_id,item_code,qty
1,BOX_S,33
1,BOX_M,56
1,BOX_L,28
1,BOX_WARD,7
1,MATTRESS,3
1,BED_FRAME,3
1,BOX_SPRING,3
1,DRESSER,3
1,NIGHTSTAND,7
1,COFFEE_TBL,1
1,END_TBL,1
1,SOFA_3S,1
1,DINING_TBL,1
1,DINING_CHAIR,8
1,BOOKCASE,1
1,DESK,1
1,OFFICE_CHAIR,1
1,FRIDGE,1
1,DISHWASHER,1
1,TV_60,1
1,TV_40,1
1,MIRROR_L,1
1,ART_L,2
1,LAMP,3
1,RUG,2
2,BOX_S,35
2,BOX_M,56
2,BOX_L,31
2,BOX_WARD,11
2,MATTRESS,3
2,BED_FRAME,3
2,BOX_SPRING,3
2,DRESSER,4
2,NIGHTSTAND,5
2,COFFEE_TBL,1
2,END_TBL,1
2,SOFA_3S,1
2,DINING_TBL,1
2,DINING_CHAIR,7
2,BAR_STOOL,5
2,BOOKCASE,3
2,FRIDGE,1
2,DISHWASHER,1
2,TV_40,1
2,TV_75,1
2,TV_60,1
2,LAMP,3
2,RUG,4
3,BOX_S,32
3,BOX_M,71
3,BOX_L,35
3,BOX_WARD,6
3,MATTRESS,3
3,BED_FRAME,3
3,BOX_SPRING,2
3,DRESSER,3
3,NIGHTSTAND,5
3,COFFEE_TBL,1
3,END_TBL,1
3,SOFA_3S,1
3,SOFA_2S,1
3,DINING_TBL,1
3,DINING_CHAIR,7
3,BAR_STOOL,3
3,DESK,1
3,OFFICE_CHAIR,1
3,FRIDGE,1
3,WASHER,1
3,DRYER,1
3,TV_40,3
3,TV_60,1
3,ART_L,3
3,LAMP,5
3,RUG,3
4,BOX_S,34
4,BOX_M,51
4,BOX_L,31
4,BOX_WARD,9
4,MATTRESS,2
4,BED_FRAME,2
4,BOX_SPRING,2
4,DRESSER,2
4,NIGHTSTAND,4
4,COFFEE_TBL,1
4,END_TBL,2
4,SOFA_3S,1
4,DINING_TBL,1
4,DINING_CHAIR,7
4,BOOKCASE,2
4,FILE_CAB,1
4,FRIDGE,1
4,WASHER,1
4,DRYER,1
4,TV_40,2
4,MIRROR_L,1
4,LAMP,4
4,RUG,2
5,BOX_S,24
5,BOX_M,81
5,BOX_L,35
5,BOX_WARD,10
5,MATTRESS,3
5,BED_FRAME,3
5,DRESSER,4
5,NIGHTSTAND,6
5,COFFEE_TBL,1
5,END_TBL,2
5,SOFA_3S,1
5,DINING_TBL,1
5,DINING_CHAIR,8
5,BAR_STOOL,4
5,BOOKCASE,1
5,DESK,1
5,OFFICE_CHAIR,1
5,FRIDGE,1
5,WASHER,1
5,DRYER,1
5,DISHWASHER,1
5,TV_60,2
5,MIRROR_L,1
5,LAMP,2
5,RUG,2
5,TREADMILL,1
6,BOX_S,17
6,BOX_M,43
6,BOX_L,26
6,BOX_WARD,9
6,MATTRESS,1
6,BED_FRAME,1
6,DRESSER,1
6,NIGHTSTAND,2
6,END_TBL,1
6,SOFA_3S,1
6,SOFA_2S,1
6,DINING_TBL,1
6,DINING_CHAIR,9
6,BOOKCASE,1
6,FRIDGE,1
6,DISHWASHER,1
6,TV_40,2
6,LAMP,5
6,RUG,3
6,SAFE_SM,1
7,BOX_S,41
7,BOX_M,67
7,BOX_L,31
7,BOX_WARD,5
7,MATTRESS,2
7,BED_FRAME,2
7,BOX_SPRING,1
7,DRESSER,3
7,NIGHTSTAND,3
7,COFFEE_TBL,1
7,END_TBL,2
7,SOFA_3S,1
7,BOOKCASE,1
7,FILE_CAB,1
7,FRIDGE,1
7,WASHER,1
7,DRYER,1
7,TV_60,3
7,TV_40,1
7,MIRROR_L,1
7,ART_L,2
7,LAMP,5
7,RUG,3
7,TREADMILL,1
8,BOX_S,17
8,BOX_M,47
8,BOX_L,24
8,BOX_WARD,1
8,MATTRESS,2
8,BED_FRAME,2
8,BOX_SPRING,2
8,DRESSER,3
8,NIGHTSTAND,4
8,COFFEE_TBL,1
8,END_TBL,2
8,SOFA_3S,1
8,SOFA_2S,1
8,DINING_TBL,1
8,DINING_CHAIR,6
8,BAR_STOOL,3
8,BOOKCASE,3
8,DESK,1
8,OFFICE_CHAIR,1
8,FILE_CAB,1
8,FRIDGE,1
8,DISHWASHER,1
8,TV_60,2
8,TV_40,1
8,MIRROR_L,1
8,LAMP,2
8,RUG,2
9,BOX_S,31
9,BOX_M,52
9,BOX_L,31
9,BOX_WARD,9
9,MATTRESS,3
9,BED_FRAME,3
9,BOX_SPRING,3
9,DRESSER,3
9,NIGHTSTAND,7
9,COFFEE_TBL,1
9,END_TBL,2
9,SOFA_3S,1
9,BOOKCASE,2
9,DESK,1
9,OFFICE_CHAIR,1
9,FRIDGE,1
9,WASHER,1
9,DRYER,1
9,DISHWASHER,1
9,TV_40,2
9,TV_60,1
9,ART_L,1
9,LAMP,6
9,RUG,2
10,BOX_S,30
10,BOX_M,87
10,BOX_L,36
10,BOX_WARD,6
10,MATTRESS,3
10,BED_FRAME,3
10,BOX_SPRING,3
10,DRESSER,3
10,NIGHTSTAND,7
10,COFFEE_TBL,1
10,END_TBL,3
10,SOFA_3S,1
10,DINING_TBL,1
10,DINING_CHAIR,6
10,BOOKCASE,1
10,OFFICE_CHAIR,1
10,FRIDGE,1
10,WASHER,1
10,DRYER,1
10,TV_40,2
10,TV_75,1
10,ART_L,3
10,LAMP,5
10,RUG,2
10,TREADMILL,1
11,BOX_S,26
11,BOX_M,55
11,BOX_L,37
11,BOX_WARD,8
11,MATTRESS,2
11,BED_FRAME,2
11,BOX_SPRING,2
11,DRESSER,2
11,NIGHTSTAND,5
11,COFFEE_TBL,1
11,END_TBL,3
11,SOFA_3S,1
11,BOOKCASE,3
11,DESK,1
11,FILE_CAB,1
11,FRIDGE,1
11,WASHER,1
11,DRYER,1
11,DISHWASHER,1
11,TV_60,2
11,LAMP,3
11,RUG,4
12,BOX_S,25
12,BOX_M,47
12,BOX_L,18
12,BOX_WARD,3
12,MATTRESS,2
12,BED_FRAME,2
12,BOX_SPRING,1
12,DRESSER,2
12,NIGHTSTAND,4
12,END_TBL,2
12,SOFA_3S,1
12,SOFA_2S,1
12,BOOKCASE,1
12,FRIDGE,1
12,WASHER,1
12,DRYER,1
12,DISHWASHER,1
12,TV_40,1
12,TV_60,1
12,ART_L,3
12,LAMP,3
12,RUG,2
12,TREADMILL,1
13,BOX_S,18
13,BOX_M,42
13,BOX_L,26
13,BOX_WARD,7
13,MATTRESS,2
13,BED_FRAME,2
13,BOX_SPRING,2
13,DRESSER,2
13,NIGHTSTAND,4
13,COFFEE_TBL,1
13,END_TBL,1
13,SOFA_3S,1
13,BOOKCASE,2
13,FRIDGE,1
13,DISHWASHER,1
13,TV_40,2
13,TV_60,1
13,LAMP,4
13,RUG,2
13,SAFE_SM,1
14,BOX_S,26
14,BOX_M,39
14,BOX_L,25
14,BOX_WARD,5
14,MATTRESS,1
14,BED_FRAME,1
14,DRESSER,1
14,NIGHTSTAND,1
14,COFFEE_TBL,1
14,END_TBL,2
14,SOFA_3S,1
14,SOFA_2S,1
14,BOOKCASE,1
14,OFFICE_CHAIR,2
14,FRIDGE,1
14,TV_60,1
14,TV_40,3
14,MIRROR_L,1
14,LAMP,2
14,RUG,2
14,TREADMILL,1
15,BOX_S,9
15,BOX_M,42
15,BOX_L,16
15,BOX_WARD,6
15,MATTRESS,1
15,BED_FRAME,1
15,DRESSER,1
15,NIGHTSTAND,1
15,COFFEE_TBL,1
15,END_TBL,3
15,SOFA_3S,1
15,SOFA_2S,1
15,BOOKCASE,3
15,DESK,1
15,OFFICE_CHAIR,1
15,FILE_CAB,1
15,FRIDGE,1
15,DISHWASHER,1
15,TV_40,1
15,TV_60,1
15,MIRROR_L,1
15,ART_L,3
15,LAMP,2
15,RUG,4
16,BOX_S,31
16,BOX_M,53
16,BOX_L,31
16,BOX_WARD,8
16,MATTRESS,2
16,BED_FRAME,2
16,BOX_SPRING,2
16,DRESSER,2
16,NIGHTSTAND,4
16,COFFEE_TBL,1
16,END_TBL,2
16,SOFA_3S,1
16,DINING_TBL,1
16,DINING_CHAIR,7
16,BAR_STOOL,5
16,BOOKCASE,1
16,FRIDGE,1
16,WASHER,1
16,DRYER,1
16,TV_60,3
16,MIRROR_L,1
16,ART_L,2
16,LAMP,3
16,RUG,2
17,BOX_S,25
17,BOX_M,35
17,BOX_L,20
17,BOX_WARD,6
17,MATTRESS,2
17,BED_FRAME,2
17,BOX_SPRING,2
17,DRESSER,3
17,NIGHTSTAND,5
17,COFFEE_TBL,1
17,END_TBL,1
17,SOFA_3S,1
17,SOFA_2S,1
17,DINING_TBL,1
17,DINING_CHAIR,5
17,BAR_STOOL,4
17,BOOKCASE,2
17,DESK,1
17,OFFICE_CHAIR,1
17,FRIDGE,1
17,WASHER,1
17,DRYER,1
17,DISHWASHER,1
17,TV_40,2
17,TV_60,1
17,MIRROR_L,1
17,LAMP,4
17,RUG,2
18,BOX_S,8
18,BOX_M,11
18,BOX_L,11
18,BOX_WARD,1
18,MATTRESS,1
18,BED_FRAME,1
18,DRESSER,2
18,NIGHTSTAND,1
18,COFFEE_TBL,1
18,END_TBL,2
18,SOFA_3S,1
18,SOFA_2S,1
18,BOOKCASE,3
18,FRIDGE,1
18,TV_60,1
18,TV_40,3
18,ART_L,1
18,LAMP,3
18,RUG,3
19,BOX_S,28
19,BOX_M,30
19,BOX_L,20
19,BOX_WARD,6
19,MATTRESS,2
19,BED_FRAME,2
19,DRESSER,2
19,NIGHTSTAND,5
19,COFFEE_TBL,1
19,END_TBL,2
19,SOFA_3S,1
19,DINING_TBL,1
19,DINING_CHAIR,6
19,DESK,2
19,OFFICE_CHAIR,1
19,FILE_CAB,1
19,FRIDGE,1
19,TV_40,1
19,TV_60,1
19,MIRROR_L,1
19,LAMP,6
19,RUG,2
19,PIANO_UP,1
20,BOX_S,18
20,BOX_M,25
20,BOX_L,27
20,BOX_WARD,7
20,MATTRESS,1
20,BED_FRAME,1
20,DRESSER,1
20,NIGHTSTAND,1
20,END_TBL,3
20,BOOKCASE,3
20,DESK,1
20,OFFICE_CHAIR,2
20,FRIDGE,1
20,TV_75,1
20,ART_L,2
20,LAMP,3
20,RUG,2
21,BOX_S,42
21,BOX_M,81
21,BOX_L,41
21,BOX_WARD,7
21,MATTRESS,4
21,BED_FRAME,4
21,BOX_SPRING,4
21,DRESSER,4
21,NIGHTSTAND,9
21,COFFEE_TBL,1
21,END_TBL,3
21,SOFA_3S,1
21,SOFA_2S,1
21,DINING_TBL,1
21,DINING_CHAIR,6
21,BAR_STOOL,5
21,BOOKCASE,2
21,FRIDGE,1
21,DISHWASHER,1
21,TV_40,1
21,TV_60,1
21,MIRROR_L,1
21,LAMP,6
21,RUG,1
22,BOX_S,18
22,BOX_M,47
22,BOX_L,28
22,BOX_WARD,4
22,MATTRESS,1
22,BED_FRAME,1
22,DRESSER,1
22,NIGHTSTAND,2
22,COFFEE_TBL,1
22,END_TBL,2
22,SOFA_3S,1
22,BOOKCASE,2
22,FILE_CAB,1
22,FRIDGE,1
22,TV_60,1
22,TV_40,2
22,MIRROR_L,1
22,LAMP,2
22,RUG,2
23,BOX_S,36
23,BOX_M,51
23,BOX_L,23
23,BOX_WARD,5
23,MATTRESS,1
23,BED_FRAME,1
23,BOX_SPRING,1
23,DRESSER,1
23,NIGHTSTAND,3
23,COFFEE_TBL,1
23,END_TBL,3
23,SOFA_3S,1
23,SOFA_2S,1
23,DINING_TBL,1
23,DINING_CHAIR,9
23,BAR_STOOL,3
23,BOOKCASE,3
23,FRIDGE,1
23,WASHER,1
23,DRYER,1
23,DISHWASHER,1
23,TV_40,2
23,TV_75,1
23,MIRROR_L,1
23,LAMP,5
23,RUG,3
24,BOX_S,13
24,BOX_M,22
24,BOX_L,8
24,BOX_WARD,3
24,MATTRESS,1
24,BED_FRAME,1
24,BOX_SPRING,1
24,DRESSER,1
24,NIGHTSTAND,2
24,END_TBL,2
24,SOFA_3S,1
24,SOFA_2S,1
24,BOOKCASE,1
24,DESK,1
24,OFFICE_CHAIR,1
24,FRIDGE,1
24,TV_40,2
24,TV_60,1
24,MIRROR_L,1
24,LAMP,7
24,RUG,2
24,TREADMILL,1
25,BOX_S,11
25,BOX_M,38
25,BOX_L,22
25,BOX_WARD,4
25,MATTRESS,1
25,BED_FRAME,1
25,BOX_SPRING,1
25,DRESSER,1
25,NIGHTSTAND,3
25,COFFEE_TBL,1
25,END_TBL,3
25,SOFA_3S,1
25,BOOKCASE,3
25,FRIDGE,1
25,TV_60,2
25,MIRROR_L,1
25,LAMP,6
25,RUG,2
26,BOX_S,46
26,BOX_M,95
26,BOX_L,44
26,BOX_WARD,11
26,MATTRESS,3
26,BED_FRAME,3
26,BOX_SPRING,2
26,DRESSER,4
26,NIGHTSTAND,5
26,COFFEE_TBL,1
26,END_TBL,1
26,SOFA_3S,1
26,SECTIONAL,1
26,DINING_TBL,1
26,DINING_CHAIR,6
26,BOOKCASE,3
26,DESK,1
26,OFFICE_CHAIR,2
26,FRIDGE,1
26,WASHER,1
26,DRYER,1
26,DISHWASHER,1
26,TV_60,2
26,MIRROR_L,1
26,LAMP,4
26,RUG,2
27,BOX_S,28
27,BOX_M,43
27,BOX_L,17
27,BOX_WARD,3
27,MATTRESS,2
27,BED_FRAME,2
27,BOX_SPRING,2
27,DRESSER,2
27,NIGHTSTAND,5
27,COFFEE_TBL,1
27,END_TBL,1
27,SOFA_3S,1
27,DINING_TBL,1
27,DINING_CHAIR,7
27,BOOKCASE,3
27,FRIDGE,1
